report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,state
2015,FL01300,"Miami-Dade County, FL",1195232.0,6179.0,86.0,379.0,4053.0,1661.0,516.97,7.2,31.71,339.1,138.97,FL
2015,FL01306,"Miami, FL",437969.0,4473.0,75.0,80.0,2637.0,1681.0,1021.31,17.12,18.27,602.1,383.82,FL
2015,WIMPD00,"Milwaukee, WI",600400.0,9583.0,145.0,436.0,5253.0,3749.0,1596.1,24.15,72.62,874.92,624.42,WI
2015,MN02711,"Minneapolis, MN",413479.0,4395.0,47.0,407.0,2045.0,1896.0,1062.93,11.37,98.43,494.58,458.55,MN
2015,MD01604,"Montgomery County, MD",1009176.0,1964.0,29.0,269.0,1060.0,606.0,194.61,2.87,26.66,105.04,60.05,MD
2015,TN01901,"Nashville, TN",658029.0,7245.0,72.0,507.0,4819.0,1847.0,1101.02,10.94,77.05,732.34,280.69,TN
2015,NY02900,"Nassau County, NY",1061175.0,1318.0,13.0,68.0,682.0,555.0,124.2,1.23,6.41,64.27,52.3,NY
2015,LANPD00,"New Orleans, LA",393447.0,3736.0,164.0,409.0,1666.0,1497.0,949.56,41.68,103.95,423.44,380.48,LA
2015,NY03030,"New York City, NY",8550861.0,50088.0,352.0,2244.0,30546.0,16946.0,585.77,4.12,26.24,357.23,198.18,NY
2015,NJNPD00,"Newark, NJ",279110.0,3072.0,107.0,104.0,1068.0,1793.0,1100.64,38.34,37.26,382.64,642.4,NJ
2015,CA00109,"Oakland, CA",419481.0,6051.0,85.0,285.0,2391.0,3290.0,1442.5,20.26,67.94,569.99,784.3,CA
2015,OK05506,"Oklahoma City, OK",630621.0,4828.0,73.0,480.0,3083.0,1192.0,765.59,11.58,76.12,488.88,189.02,OK
2015,NB02802,"Omaha, NE",452252.0,2329.0,48.0,174.0,1452.0,655.0,514.98,10.61,38.47,321.06,144.83,NE
2015,FL04804,"Orlando, FL",268438.0,2525.0,32.0,182.0,1789.0,522.0,940.63,11.92,67.8,666.45,194.46,FL
2015,PAPEP00,"Philadelphia, PA",1567810.0,16132.0,280.0,1322.0,7765.0,6765.0,1028.95,17.86,84.32,495.28,431.49,PA
